groupID;featureID;featureID.1;groupID.1;gene;transcript
ENSMUSG00000052146;ENSMUST00000114881;ENSMUST00000114881.9;ENSMUSG00000052146.17;0;3,43E+07
ENSMUSG00000052146;ENSMUST00000114882;ENSMUST00000114882.9;ENSMUSG00000052146.17;0;4,19E-19
ENSMUSG00000052146;ENSMUST00000152982;ENSMUST00000152982.3;ENSMUSG00000052146.17;0;7,05E-18
ENSMUSG00000052146;ENSMUST00000178774;ENSMUST00000178774.3;ENSMUSG00000052146.17;0;5,99E-12
ENSMUSG00000052459;ENSMUST00000063661;ENSMUST00000063661.13;ENSMUSG00000052459.14;1,37E+09;0
ENSMUSG00000052459;ENSMUST00000114666;ENSMUST00000114666.9;ENSMUSG00000052459.14;1,37E+09;0
ENSMUSG00000052656;ENSMUST00000064637;ENSMUST00000064637.11;ENSMUSG00000052656.13;0.040248557990747;0
ENSMUSG00000052656;ENSMUST00000114178;ENSMUST00000114178.8;ENSMUSG00000052656.13;0.040248557990747;0
ENSMUSG00000053063;ENSMUST00000133756;ENSMUST00000133756.2;ENSMUSG00000053063.12;0;0
ENSMUSG00000053063;ENSMUST00000151671;ENSMUST00000151671.8;ENSMUSG00000053063.12;0;0
ENSMUSG00000053687;ENSMUST00000034373;ENSMUST00000034373.8;ENSMUSG00000053687.16;0.0421429304721638;0
ENSMUSG00000053687;ENSMUST00000117555;ENSMUST00000117555.8;ENSMUSG00000053687.16;0.0421429304721638;0
ENSMUSG00000054428;ENSMUST00000067496;ENSMUST00000067496.7;ENSMUSG00000054428.13;0;0
ENSMUSG00000054428;ENSMUST00000152993;ENSMUST00000152993.8;ENSMUSG00000054428.13;0;0
ENSMUSG00000054452;ENSMUST00000002518;ENSMUST00000002518.9;ENSMUSG00000054452.11;0.00137444245262069;0
ENSMUSG00000054452;ENSMUST00000218432;ENSMUST00000218432.2;ENSMUSG00000054452.11;0.00137444245262069;0
ENSMUSG00000055447;ENSMUST00000229206;ENSMUST00000229206.2;ENSMUSG00000055447.20;0.0037761940139757;0.00256560689656165
ENSMUSG00000055447;ENSMUST00000230281;ENSMUST00000230281.2;ENSMUSG00000055447.20;0.0037761940139757;0.0210436085629723
ENSMUSG00000055553;ENSMUST00000093456;ENSMUST00000093456.12;ENSMUSG00000055553.17;1,16E+02;0
ENSMUSG00000055553;ENSMUST00000121623;ENSMUST00000121623.8;ENSMUSG00000055553.17;1,16E+02;0
ENSMUSG00000055839;ENSMUST00000232702;ENSMUST00000232702.2;ENSMUSG00000055839.7;7,16E-02;3,98E+06
ENSMUSG00000055839;ENSMUST00000233519;ENSMUST00000233519.2;ENSMUSG00000055839.7;7,16E-02;1,19E-02
ENSMUSG00000056612;ENSMUST00000070850;ENSMUST00000070850.8;ENSMUSG00000056612.8;4,63E+00;9,92E-01
ENSMUSG00000056612;ENSMUST00000235195;ENSMUST00000235195.2;ENSMUSG00000056612.8;4,63E+00;1,90E+03
ENSMUSG00000056612;ENSMUST00000237084;ENSMUST00000237084.2;ENSMUSG00000056612.8;4,63E+00;3,84E+09
ENSMUSG00000056629;ENSMUST00000070878;ENSMUST00000070878.9;ENSMUSG00000056629.17;6,73E+08;0
ENSMUSG00000056629;ENSMUST00000177752;ENSMUST00000177752.9;ENSMUSG00000056629.17;6,73E+08;0
ENSMUSG00000056737;ENSMUST00000071044;ENSMUST00000071044.13;ENSMUSG00000056737.15;0;3,86E+08
ENSMUSG00000056737;ENSMUST00000114071;ENSMUST00000114071.8;ENSMUSG00000056737.15;0;2,71E+06
ENSMUSG00000056737;ENSMUST00000114072;ENSMUST00000114072.8;ENSMUSG00000056737.15;0;0.000980839898504299
ENSMUSG00000056737;ENSMUST00000126101;ENSMUST00000126101.3;ENSMUSG00000056737.15;0;1,15E-54
ENSMUSG00000056888;ENSMUST00000074805;ENSMUST00000074805.12;ENSMUSG00000056888.12;0;6,97E+05
ENSMUSG00000056888;ENSMUST00000161870;ENSMUST00000161870.3;ENSMUSG00000056888.12;0;1,05E-35
ENSMUSG00000056888;ENSMUST00000162508;ENSMUST00000162508.9;ENSMUSG00000056888.12;0;0.000316734756268881
ENSMUSG00000057113;ENSMUST00000093201;ENSMUST00000093201.13;ENSMUSG00000057113.14;0;0.0205890281702414
ENSMUSG00000057113;ENSMUST00000141881;ENSMUST00000141881.2;ENSMUSG00000057113.14;0;4,51E-07
ENSMUSG00000057322;ENSMUST00000077915;ENSMUST00000077915.10;ENSMUSG00000057322.13;0;1,99E+09
ENSMUSG00000057322;ENSMUST00000082092;ENSMUST00000082092.5;ENSMUSG00000057322.13;0;1,89E-06
ENSMUSG00000057322;ENSMUST00000106599;ENSMUST00000106599.8;ENSMUSG00000057322.13;0;1,40E-15
ENSMUSG00000057322;ENSMUST00000106602;ENSMUST00000106602.10;ENSMUSG00000057322.13;0;1,01E+01
ENSMUSG00000057561;ENSMUST00000078079;ENSMUST00000078079.11;ENSMUSG00000057561.12;0.000683901906795826;0.000215830504361919
ENSMUSG00000057666;ENSMUST00000073605;ENSMUST00000073605.15;ENSMUSG00000057666.19;0;0.0328627539528567
ENSMUSG00000057666;ENSMUST00000117757;ENSMUST00000117757.9;ENSMUSG00000057666.19;0;0.0328627539528567
ENSMUSG00000057666;ENSMUST00000118875;ENSMUST00000118875.8;ENSMUSG00000057666.19;0;0.000787344879791689
